epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7608,1.52625,4.12423,1.34928,0.35651,0.33931,0.15605,0.12545,1.07516,3.32147,1.22859,0.000203252,0.000203252,0.000203252
2,155.287,0.96896,2.61158,1.04646,0.43781,0.55456,0.47104,0.39456,0.77915,2.20226,1.14231,0.000391212,0.000391212,0.000391212
3,232.166,0.72546,1.95113,0.95597,0.67099,0.55981,0.64663,0.58055,0.59924,1.83026,1.09532,0.000558547,0.000558547,0.000558547
4,308.823,0.60486,1.6684,0.92046,0.74837,0.65216,0.74213,0.67917,0.53684,1.49834,1.08017,0.000532187,0.000532187,0.000532187
5,385.09,0.54577,1.49637,0.89398,0.78006,0.70092,0.79221,0.73261,0.49786,1.3308,1.05725,0.00050125,0.00050125,0.00050125
6,461.118,0.50573,1.3479,0.87817,0.84832,0.70539,0.81983,0.77927,0.41822,1.18828,1.03186,0.000470312,0.000470312,0.000470312
7,537.123,0.45938,1.29675,0.8645,0.85357,0.72583,0.83271,0.78809,0.40742,1.16333,1.02386,0.000439375,0.000439375,0.000439375
8,613.224,0.42323,1.14268,0.85358,0.88034,0.72888,0.84892,0.81265,0.36982,1.06257,1.02122,0.000408438,0.000408438,0.000408438
9,689.302,0.42951,1.14639,0.86099,0.86112,0.75587,0.86772,0.82618,0.35808,1.02755,1.01186,0.0003775,0.0003775,0.0003775
10,764.649,0.39267,1.06186,0.85384,0.8876,0.76285,0.86635,0.82917,0.34176,0.99321,1.01249,0.000346563,0.000346563,0.000346563
11,838.895,0.3479,0.99051,0.82547,0.89649,0.7594,0.87141,0.83414,0.34862,1.00939,1.00233,0.000315625,0.000315625,0.000315625
12,913.143,0.31625,0.95208,0.81782,0.90261,0.75874,0.87653,0.85325,0.28456,0.91262,0.99959,0.000284688,0.000284688,0.000284688
13,987.102,0.31266,0.8915,0.817,0.91116,0.77168,0.89735,0.86301,0.32012,0.86174,1.00255,0.00025375,0.00025375,0.00025375
14,1061.01,0.29232,0.86852,0.81871,0.8929,0.78124,0.90314,0.87888,0.28422,0.83379,0.99815,0.000222813,0.000222813,0.000222813
15,1135.16,0.2853,0.82537,0.80742,0.88153,0.81129,0.90079,0.87593,0.28212,0.80579,0.99948,0.000191875,0.000191875,0.000191875
16,1208.11,0.28269,0.80221,0.80705,0.92821,0.78628,0.91061,0.88755,0.27027,0.77466,0.99821,0.000160938,0.000160938,0.000160938
17,1281.91,0.27166,0.7763,0.81302,0.91672,0.80408,0.9138,0.89359,0.26539,0.77882,0.99325,0.00013,0.00013,0.00013
18,1355.85,0.27658,0.77623,0.80267,0.91376,0.81185,0.91419,0.89333,0.26118,0.76302,0.9918,9.90625e-05,9.90625e-05,9.90625e-05
19,1429.01,0.26282,0.73078,0.80638,0.90173,0.81341,0.91628,0.89384,0.25939,0.75289,0.99371,6.8125e-05,6.8125e-05,6.8125e-05
20,1503.39,0.26873,0.73026,0.81156,0.91044,0.80481,0.91733,0.89577,0.25367,0.73898,0.99284,3.71875e-05,3.71875e-05,3.71875e-05
